name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Eigilis Senonen	1380	29/Mai	NA	NA	NA	NA	archiepiscopi$virginis,virginum_or_(vor_Namen)_venerabilis	
Eigilis Fulden	1381	15/Juni	NA	NA	NA	NA	abbatis	
Eynardi	1382	25/März	NA	NA	NA	NA	eremite	
Einbete, Worbete, Vilbete	1383	16/September	14/Februar	NA	NA	Worbete$Vilbete	virginis,virginum_or_(vor_Namen)_venerabilis	
Elaphii Catalaunen	1384	19/August	NA	NA	NA	NA	episcopi,episcoporum	
Eldradi (Heldradi) Novalicien	1385	13/März	14/Februar	NA	NA	b. Heldradi	abbatis$beati,beate	
Ele ord. Cisterc	1386	1/Februar	NA	ca. 1200	[Salisbury] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Elenare (Elevare) et Sponsarie	1387	2/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eleuchadii Ravennatis	1388	14/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eleutherii Tornacen	1389	20/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eleutherii et Ancie matris ejus	1390	18/April	14/Februar	NA	NA	Euletherii$Ancie	martiris,martirum	
Eleutherii	1391	18/April	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eleutherii (2)	1392	26/Mai	NA	NA	NA	NA	pape$martiris,martirum	
Eleutherii (3)	1393	24/November	NA	NA	NA	NA	martiris,martirum	
Eleutherii (4)	1394	29/Mai	NA	NA	NA	NA	confessoris	
Eleutherii Autissiodoren	1395	16/August	NA	NA	NA	NA	episcopi,episcoporum	
Eleutherii Terracinen	1396	6/September	NA	NA	NA	NA	episcopi,episcoporum	
Elfegi (Aelfeagi) Wintonen	1397	12/März	14/Februar	NA	NA	Aelfeagi$Alphegi$Elphegi	episcopi,episcoporum	
Elfegi (Alphegi, Aelfeagi, Elphegi) Cantuarien	1398	19/April	14/Februar	1012	Aberdon, [Canterbury] A.S., Durham, Exeter, London (Westminster), Salisbury, Winchester.	Aelfeagi$Alphegi$Elphegi	archiepiscopi$martiris,martirum	
Elfledis Streneashalen	1399	8/Februar	14/Februar	NA	NA	Ethelfledis	abbatis	
Elfledis (Ethelfledis)	1400	23/October	14/Februar	NA	NA	Ethelfledis	vidue	
Elfledis Rumesigen. (depositio)	1401	29/October	14/Februar	NA	NA	Ethelfledis	abbatis	
Elgive (Aelfgive) regine	1402	18/Mai	14/Februar	NA	NA	Aelfgive	NA	
Elie	1403	20/Juli	14/Februar	NA	NA	Helie	prophete	
Elie Sedunen. ( D.)	1404	21/März	14/Februar	NA	NA	Helie	episcopi,episcoporum$eremite	
Elie Pantaleonis	1405	12/April	14/Februar	1042	[Köln] Mab., D.	Helie	abbatis$sancti,sancte$beati,beate	
Elie , Pauli et Isidori	1406	17/April	14/Februar	NA	NA	Helie	presbyteri$monachi$martiris,martirum	
Elie (2)	1407	20/Juni	14/Februar	NA	NA	Helie	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Elie ord. Basilii	1408	17/August	14/Februar	NA	NA	Helie	monachi$sancti,sancte	
Elie Syracusani ord. Bened	1409	26/August	14/Februar	NA	NA	Helie	episcopi,episcoporum$sancti,sancte	
Elie Spelaeotis	1410	11/September	14/Februar	NA	NA	Helie	abbatis	
Eligii (Heligii, Elogii, Eloy) Noviomagen. (depositio)	1411	1/December	14/Februar	NA	NA	Heligii$Elogii, Eloy$Elegii	episcopi,episcoporum$confessoris	
Eligii (Elegii)	1412	14/Juli	14/Februar	NA	NA	Heligii$Elogii, Eloy$Elegii	confessoris	
Elii	1413	18/Juli	NA	NA	NA	NA	confessoris	
Eliphii (Elisii)	1414	16/October	14/Februar	NA	NA	Elisii	martiris,martirum	
Elisabeth lantgravie Thuringie (electe, matrone, regine), de Hungaria*), continentis)	1415	19/November	26/November$18/April$2/Mai$1/Mai	1231; can. 1235	in allen deutschen, schweiz. und skand. Diöcesen ausser$Genf, Toul,- Åbo und Westerås, wo sie nicht erwähnt ist.$* in Aquileja, Augsburg, Brandenburg, Breslau, Erfurt, Ermland, Gnesen, Goslar, Halle, Havelberg, Kammin, Krakau, Lebus, Magdeburg, Mainz, Naumburg, Prag, Ratzeburg, Regensburg, Verden und Würzburg.$Sonst: Cambrai (cont.),|93| Langres, Lyon (reg.), Nevers, Paris (matr.), Tournai.- Mailand, Ambros, (de Ung.).- Sevilla (cont.), Toledo, Mozarab. (de Ung.).- *Agram, Fünfkirchen, Gran.- Augustiner-Eremiten. *Benedictiner, *Cistercienser, *Deutsch-Orden, *Domini ultramontani (reg.), Dominicaner, Franciscaner, Johanniter, Kreuzherren, *Pauliner (reg.), Prämonstrat.$Octava  November 26 :  Ermland, Würzburg.- Deutschorden, Kreuzherren.$Translatio (Elevatio) 1250  Mai 2 :  Bremen, Brixen, Erfurt, Freising, Mainz, Naumburg.- Cambrai (elev.).- *Gran.- Deutschorden.$Transl.  Mai 1 :  Halberstadt (D.:  Apr. 18 ) .	NA	vidue	
Elisabeth regine Portug. tertii ord. Francisci	1416	4/Juli	8/Juli	1330; can. 1625	[Lissabon] A.S.- Kreuzherren.$Im heut. Cal. Rom:  Juli 8 .	NA	sancti,sancte$vidue	
Elisabeth Picenardi ord. servorum Marie	1417	19/Februar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Elisabeth Schönaugien. ord. Cistercien	1418	18/Juni	NA	1165	(Trier) A.S.	NA	abbatis	
Elisabeth Bone tertii ord. Francisci	1419	5/December	14/Februar	NA	NA	Rose$Isabelle	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Elisei	1420	14/Juni	NA	NA	NA	NA	prophete	
Elmeri	1421	27/August	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eloquii	1422	3/December	NA	NA	NA	NA	monachi$confessoris	
Elpidii Lugdunen	1423	2/September	14/Februar	NA	NA	Ilpidii	episcopi,episcoporum$confessoris	
Elpidii Atellani	1424	24/Mai	14/Februar	NA	NA	Ilpidii	episcopi,episcoporum	
Elpidii (Ilpidii)	1425	16/Juni	14/Februar	NA	NA	Ilpidii	martiris,martirum	
Elpidii	1426	16/Juli	14/Februar	NA	NA	Ilpidii	martiris,martirum	
Elsiarii	1427	5/Juni	NA	NA	NA	NA	monachi$beati,beate	
Elvani	1428	1/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Elwini	1429	27/October	NA	NA	NA	NA	martiris,martirum	
Emerentiane	1430	23/Januar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Emerici ducis Slavonie	1431	5/November	4/November$2/September	1031	*Agram, *Fünfkirchen, *Gran.- *Domini ultramontani (translatio), Dominicaner, Pauliner.$November 4 :  Bamberg.$Depositio  September 2 :  *Agram, *Fünfkirchen, *Gran.	NA	NA	
Emerii Bagnolen	1432	27/Januar	NA	NA	NA	NA	abbatis	
Emerite	1433	4/December	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Emeriti	1434	11/Juni	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Emetherii et Celidonii Legione	1435	3/März	NA	NA	NA	NA	martiris,martirum	
Emetrii	1436	24/Januar	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Emigdii Asculen	1437	5/August	NA	NA	NA	NA	episcopi,episcoporum	
Emile et Hieremie	1438	15/September	NA	NA	NA	NA	diaconi$martiris,martirum	
Emiliane amite Gregorii	1439	5/Januar	NA	NA	NA	NA	pape$virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Emiliane	1440	30/Juni	NA	NA	NA	NA	martiris,martirum	
Emiliani ( ord. Bened.)	1441	12/November	NA	NA	NA	NA	abbatis$sancti,sancte$confessoris$presbyteri	
Emiliani et Hilariani	1442	28/Januar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Emiliani Latiniacen	1443	10/März	NA	NA	NA	NA	abbatis	
Emiliani Nanneten	1444	25/Juni	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Emiliani Vercellen	1445	11/September	NA	NA	NA	NA	episcopi,episcoporum	
Emiliani	1446	11/October	NA	NA	NA	NA	confessoris	
Emiliani (2)	1447	12/November	NA	NA	NA	NA	presbyteri$solitarii	
Emilie Biccherie penit. ord. Dominici	1448	3/Mai	17/August	1314	[Vercelli] A.S. (D.:  August 17 ) .	NA	sancti,sancte$beati,beate	
Emilii ducis	1449	1/Februar	NA	NA	NA	NA	NA	
Emilii	1450	28/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Emilionis	1451	16/November	NA	NA	NA	NA	abbatis	
Emmanuelis ord. Cist	1452	27/Februar	NA	ca. 1170	[Cremona] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$monachi	
Emmerami (Hemmerammi , Heimerami)	1453	22/September	14/Februar	NA	NA	Heimerami$Hemmerami$Haimerami	martiris,martirum$episcopi,episcoporum	
Emmonis Senonen	1454	29/April	NA	NA	NA	NA	episcopi,episcoporum	
Endei Aranien	1455	21/März	NA	NA	NA	NA	abbatis	
Enechonis Onien. ord. Bened	1456	1/Juni	NA	1057	[Burgos] A.S., Compostella.	NA	abbatis$confessoris$sancti,sancte	
Engelberti Colonien	1457	7/November	NA	1225	[Köln] S., D.	NA	archiepiscopi$martiris,martirum	
Engelmari	1458	14/Januar	NA	ca. 1101	[Regensburg, Windberg] A.S.	NA	martiris,martirum$eremite	
Engelmundi Velsenen	1459	21/Juni	NA	NA	NA	NA	presbyteri$martiris,martirum	
Englacii	1460	3/November	NA	NA	NA	NA	abbatis	
Engratie (Encratidis) (; et XVIII)	1461	16/April	14/Februar	NA	NA	Encratidis	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis$sociorum,sociis	
Enimie (Eremie)	1462	6/October	14/Februar	NA	NA	Eremie	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Ennodii Ticinen	1463	17/Juli	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Enogati Alethen	1464	13/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Eobani	1465	26/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Eoharni	1466	11/Februar	14/Februar	NA	NA	Eulalii	eremite	
Eonii Arelaten	1467	30/August	NA	NA	NA	NA	episcopi,episcoporum	
Eormenhildis (Ermenildis) ( Elien.)	1468	13/Februar	14/Februar	NA	NA	Ermenildis	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Eovaldi et Sixti	1469	7/Mai	14/Februar	NA	NA	Sixti	martiris,martirum	
Epaphroditi Tarracinen	1470	22/März	NA	NA	NA	NA	episcopi,episcoporum	
Eparchii Engolismen	1471	1/Juli	NA	NA	NA	NA	abbatis$confessoris	
Epegati	1472	28/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Ephenici	1473	9/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Ephisii	1474	15/Januar	NA	NA	NA	NA	martiris,martirum	
Epicteti	1475	23/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Epimenei	1476	18/Februar	NA	NA	NA	NA	presbyteri$martiris,martirum	
Epiphanie	1477	6/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Epiphanii (Ticinen.)	1478	22/Januar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Epiphanii et Isidori inventio (Susceptio reliquiarum)	1479	4/August	14/Februar	NA	NA	Isidori inventio	martiris,martirum	
Episcoporum Commemoratio ordinis Cistercien	1480	11/Januar	NA	NA	NA	NA	NA	
Epponis et Gotscalci	1481	7/Juni	14/Februar	1065	[Havelberg, Lenzen] D.	Gotscalci	martiris,martirum$beati,beate	
Eptadii	1482	22/August	NA	NA	NA	NA	presbyteri$martiris,martirum	
Equitii Valerie	1483	7/März	NA	NA	NA	NA	abbatis	
Erasmi (Herasmi)	1484	3/Juni	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Erkenberti	1485	23/December	NA	1132	[Worms, Frankenthal] D.	NA	abbatis$confessoris$beati,beate	
Erkenbodonis Teruanen	1486	12/April	NA	NA	NA	NA	episcopi,episcoporum	
Erkentrudis monialis	1487	14/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Erkenwoldi Londinen. depositio	1488	30/April	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eremberte	1489	8/Juli	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Eremberti Tolosani	1490	14/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Erenfridi (Ezzonis) comitis palatini fundatoris Brauwilar	1491	21/Mai	14/Februar	1035	[Köln] A.S.	Ezzonis	monachi$confessoris	
Eresvithe monialis	1492	1/September	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Erfonis Monasterien	1493	9/November	NA	1097	[Münster] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Ergnate	1494	8/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Erhardi Ratisb	1495	8/Januar	14/Februar	NA	NA	Erardi	episcopi,episcoporum$confessoris	
Erici regis (Suecie)	1496	18/Mai	14/Februar$24/Januar	1151	Aarhus, *Åbo, Kjöbenhavn, *Linköping, *Lund, Odensee, *Roeskilde, *Skara, *Strengnäs, *Upsala, *Westeräs.$Translatio  Januar 24 :  *Upsala.	Heinrici	martiris,martirum	
Erici	1497	24/Juni	14/Februar	NA	NA	Heinrici	monachi	
Erici (Heinrici) peregrini	1498	13/März	14/Februar	1415	[Perugia] A.S.	Heinrici	confessoris$beati,beate	
Erinei (Ernei)	1499	9/August	14/Februar	NA	NA	Hernei$Ernei	abbatis$confessoris	
Erintrudis (Erndrudis)  (depositio)	1500	30/Juni	14/Februar	NA	NA	Erendrudis abb.$Erndrudis	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Erluini Gemblacen	1501	23/Mai	NA	NA	NA	NA	abbatis	
Ermelindis	1502	29/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Ermenburge abbatisse	1503	19/November	NA	NA	NA	NA	NA	
Ermenfredi (Hermenfridi) abb, Cusantien	1504	25/September	NA	NA	NA	NA	NA	
Ermengaudi Urgellen	1505	3/November	NA	1035	[Urgel] A.S.	NA	episcopi,episcoporum	
Ermenigildis (Hermenegildis, Emergildis) regis	1506	13/April	14/Februar	NA	NA	Emergildis$Hermenegildis	martiris,martirum	
Erminoldi Pruveningen	1507	6/Januar	NA	NA	NA	NA	abbatis$beati,beate	
Erminonis Lobien	1508	26/April	NA	NA	NA	NA	abbatis$confessoris	
Esaie	1509	6/Juli	NA	NA	NA	NA	prophete	
Eskilli Strengenen	1510	12/Juni	11/Juni$18/Juni$6/October	1129	*Åbo, Linköping, *Upsala.$Juni 11 :  *Strengnäs.$Octava  Juni 18 :  Strengnäs.$Translatio (meist ohne so bezeichnet zu sein)  October 6 :  *Linköping, Odensee, Skara, *Strengnäs (trl), Trondhjem, *Westeräs.	NA	martiris,martirum$episcopi,episcoporum	
Esopii infantis	1511	9/September	NA	NA	NA	NA	beati,beate	
Estervini (Easterwini) Wiren	1512	7/März	NA	NA	NA	NA	abbatis$presbyteri	
Ethbini	1513	19/October	NA	NA	NA	NA	abbatis$confessoris	
Ethelberti regis Anglor. Orient	1514	20/Mai	NA	NA	NA	NA	martiris,martirum	
Ethelberti regis Cantuarior	1515	24/Februar	NA	NA	NA	NA	NA	
Ethelburge ( Berchingen.)	1516	11/October	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Ethelburge Eboriacen	1517	7/Juli	NA	NA	NA	NA	abbatis	
Etheldrede (Ediltrudis, Ethildride, Aetheldryde) non (regine, abbatisse Elien.)	1518	23/Juni	14/Februar	NA	NA	Ediltrudis	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Etheldrite recluse in monasterio Crulanden	1519	2/August	NA	NA	NA	NA	beati,beate	
Ethelredi regis	1520	4/Mai	NA	NA	NA	NA	NA	
Ethelredi et Ethelberti fratrum	1521	17/October	14/Februar	NA	NA	Ethelberti	martiris,martirum	
Ethelwide regine	1522	20/Juli	NA	NA	NA	NA	NA	
Ethelwoldi (Adelwaldi, Athelwaldi) Wintonien	1523	1/August	14/Februar	NA	NA	Adelwoldi$Aedelwaldi	episcopi,episcoporum$confessoris	
Ethelwoldi Lindisfarnen	1524	12/Februar	14/Februar	NA	NA	Adelwoldi$Aedelwaldi	episcopi,episcoporum	
Ethelwoldi (Aedelwaldi) anachorete	1525	23/März	14/Februar	NA	NA	Adelwoldi$Aedelwaldi	presbyteri	
Etherii Viennen	1526	14/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Etherii Autissiodoren	1527	27/Juli	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Etherii Lugdunen	1528	27/August	NA	NA	NA	NA	episcopi,episcoporum	
Ethernani	1529	2/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Ethernasci	1530	22/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eterni Ebroicen	1531	15/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Euaristi	1532	26/October	14/Februar	NA	NA	Evaristi	pape$martiris,martirum	
Euberti	1533	1/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Euchacii (?)	1534	19/September	NA	NA	NA	NA	martiris,martirum	
Eucharii (Tungren.)	1535	20/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eucharii	1536	27/October	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eucharii (Treveren.)	1537	8/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eucharii Trajecten	1538	27/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Eucherii Lugdira	1539	16/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eucherii Aurelianen	1540	20/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Eudaldi	1541	11/Mai	NA	NA	NA	NA	martiris,martirum$beati,beate	
Eudonis	1542	20/November	NA	NA	NA	NA	abbatis	
Euergilli (Ebergisili) Trajecten	1543	24/October	14/Februar	NA	NA	Ebregisili$Evergisili	martiris,martirum$episcopi,episcoporum	
Eufemie (Euphemie)	1544	16/September	14/Februar	NA	NA	Euphemie	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie	1545	13/April	14/Februar	NA	NA	Euphemie	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie, Dorothee, Thecle et Erasme (Quatuor virginum)	1546	19/September	14/Februar	NA	NA	Erasme$Euphemie$Dorothee	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie (2)	1547	12/Februar	14/Februar	NA	NA	Euphemie	virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie (3)	1548	7/April	14/Februar	NA	NA	Euphemie	virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie (4)	1549	16/Mai	14/Februar	NA	NA	Euphemie	virginis,virginum_or_(vor_Namen)_venerabilis	
Eufemie Altonis	1550	17/Juni	14/Februar	1180	[Freising] A.S.	Euphemie	abbatis$sancti,sancte$beati,beate	
Eufredi	1551	11/October	NA	NA	NA	NA	martiris,martirum	
Eugei regis	1552	29/Juli	NA	NA	NA	NA	NA	
Eugendi Juren	1553	1/Januar	NA	NA	NA	NA	abbatis$confessoris	
Eugeniani	1554	8/Januar	NA	NA	NA	NA	martiris,martirum	
Eugenie	1555	8/Februar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eugenie (2)	1556	7/April	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Eugenie (3)	1557	11/September	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eugenie (4)	1558	23/December	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eugenie (5)	1559	7/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Eugenie Hohenburgen	1560	16/September	NA	NA	NA	NA	abbatis	
Eugenii	1561	8/Januar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eugenii Carthaginien	1562	6/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eugenii Toletani	1563	15/November	NA	NA	NA	NA	archiepiscopi$martiris,martirum	
Eugenii Mediolanen. depositio	1564	30/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eugenii I	1565	2/Juni	NA	NA	NA	NA	pape$confessoris	
Eugenii (2)	1566	16/Juli	NA	NA	NA	NA	episcopi,episcoporum$sociorum,sociis	
Eugenii Ardsrathen	1567	23/August	NA	NA	NA	NA	episcopi,episcoporum	
Eugenii (3)	1568	17/November	NA	NA	NA	NA	confessoris	
Eulalie Barchinonen	1569	12/Februar	14/Februar	NA	NA	Euthalie	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eulalie Emeritensis	1570	10/December	14/Februar	NA	NA	Euthalie	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eulalie (Euthalie)	1571	27/August	14/Februar	NA	NA	Euthalie	virginis,virginum_or_(vor_Namen)_venerabilis	
Eulalii Syracusani	1572	16/Februar	14/Februar	NA	NA	Euladii	episcopi,episcoporum	
Eulalii (Euladii) Nivernen	1573	26/August	14/Februar	NA	NA	Euladii	episcopi,episcoporum	
Eulogii et Lucretie Corduben	1574	11/März	NA	NA	NA	NA	presbyteri$martiris,martirum	
Eumachii	1575	3/Januar	NA	NA	NA	NA	presbyteri$confessoris	
Eunani Raphoen	1576	7/September	NA	NA	NA	NA	episcopi,episcoporum	
Eunucii Noviomen	1577	10/September	NA	NA	NA	NA	episcopi,episcoporum	
Eupergii	1578	14/März	NA	NA	NA	NA	confessoris	
Euphebii (Ephebi) Neapolit	1579	23/Mai	14/Februar	NA	NA	Ephebi	episcopi,episcoporum	
Euphrasie (Eufraxie)	1580	11/Februar	14/Februar	NA	NA	Eufraxie	virginis,virginum_or_(vor_Namen)_venerabilis	
Euphrasie (Eufraxie) (2)	1581	13/März	14/Februar	NA	NA	Eufraxie	virginis,virginum_or_(vor_Namen)_venerabilis	
Euphrasii Claromontani	1582	15/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Euphronii Eduen	1583	7/August	NA	NA	NA	NA	episcopi,episcoporum	
Euphronii Turonen	1584	4/August	NA	NA	NA	NA	episcopi,episcoporum	
Euphrosyne	1585	11/Februar	14/Februar	NA	NA	Eufrosine	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Euphrosyne et Florentie	1586	7/Juli	14/Februar	NA	NA	Eufrosine	virginis,virginum_or_(vor_Namen)_venerabilis	
Euphrosyne (2)	1587	7/Mai	14/Februar	NA	NA	Eufrosine	virginis,virginum_or_(vor_Namen)_venerabilis	
Euphrosyni	1588	1/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Eupilii Comen	1589	11/October	NA	NA	NA	NA	episcopi,episcoporum	
Eupli	1590	12/August	NA	NA	NA	NA	diaconi$martiris,martirum	
Euprepii Veronen	1591	21/August	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Euprobii	1592	30/April	NA	NA	NA	NA	martiris,martirum	
Eupurie	1593	16/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Euriele	1594	1/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Eurosie	1595	25/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Eusanii ( Sipontini)	1596	9/Juli	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eusebie abbatisse Hammaticen	1597	16/März	NA	NA	NA	NA	NA	
Eusebie	1598	8/October	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Eusebie (2)	1599	29/October	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Eusebii	1600	14/August	NA	NA	NA	NA	presbyteri$confessoris	
Eusebii Cremonen	1601	5/März	NA	NA	NA	NA	martiris,martirum	
Eusebii (2)	1602	21/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eusebii Vercellen	1603	1/August	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Eusebii Mediolanen	1604	12/August	NA	NA	NA	NA	archiepiscopi$confessoris	
Eusebii, Vincentii, Pontiani et Peregrini Rome	1605	25/August	14/Februar	NA	NA	Vincentii	martiris,martirum	
Eusebii (3)	1606	2/October	NA	NA	NA	NA	pape$martiris,martirum	
Eusebii (4)	1607	2/October	NA	NA	NA	NA	presbyteri$confessoris	
Eusebii (5)	1608	30/October	NA	NA	NA	NA	martiris,martirum	
Eusebii S. Galli	1609	31/Januar	NA	NA	NA	NA	monachi$beati,beate	
Eusebii Tricastini	1610	23/März	NA	NA	NA	NA	episcopi,episcoporum	
Eusebii Fanen	1611	18/April	NA	NA	NA	NA	episcopi,episcoporum	
Eusebii Comen	1612	22/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Eusebii (6)	1613	24/September	NA	NA	NA	NA	monachi	
Eusebii Bononien	1614	26/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Eusebii, Marcelli	1615	2/December	14/Februar	NA	NA	Felicis et Eusebii	martiris,martirum$sociorum,sociis	
Eusei	1616	15/Februar	NA	NA	NA	NA	eremite	
Eusicii Cellen	1617	27/November	NA	NA	NA	NA	abbatis$confessoris	
Euspicii Miciacen	1618	20/Juli	NA	NA	NA	NA	abbatis	
Eustachii	1619	2/November	14/Februar	NA	NA	Eustochii$Eustasii$Eustathii	martiris,martirum$sociorum,sociis	
Eustachii (Eustachii)	1620	20/Februar	14/Februar	NA	NA	Eustochii$Eustasii$Eustathii	martiris,martirum	
Eustachii (Eustasii) Luxovien	1621	29/März	14/Februar	NA	NA	Eustochii$Eustasii$Eustathii	abbatis	
Eustachii (Eustathii, Eustasii) (Antiocheni)	1622	16/Juli	14/Februar	NA	NA	Eustochii$Eustasii$Eustathii	episcopi,episcoporum$confessoris	
Eustadiole (Stadiole)	1623	8/Juni	14/Februar	NA	NA	Stadiole	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Eustasii Neapolitani	1624	10/Mai	14/Februar	NA	NA	Eustachii ep. Bituricen,	episcopi,episcoporum	
Eustasii	1625	20/Mai	14/Februar	NA	NA	Eustachii ep. Bituricen,	martiris,martirum	
Eustasii (Eustachii) Bituricen	1626	31/December	14/Februar	NA	NA	Eustachii ep. Bituricen,	episcopi,episcoporum	
Eusterii Salernitani	1627	19/October	NA	NA	NA	NA	episcopi,episcoporum	
